g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.145,1,4,0.0236246585845947,0.0473622490030326,-0.0036711890058849,-0.0110684978475331,-0.0136878037397476,-0.0478260421986388,-3.023832269142072,-3.882815000301756,-inf
0.146,1,4,0.0233819484710693,0.0338137227598252,-0.0056580257053501,-0.0107429973851311,-0.0114978907626899,-0.0684122839279844,-2.6089930568727264,-3.909783761180128,-inf
0.147,1,4,0.0237436294555664,0.0464141434924353,-0.0010281577163403,-0.0093739643854355,-0.0096169936916291,-0.0510370331732239,-2.216146965413435,-3.541842294364011,-inf
0.148,1,4,0.0418996810913085,0.0509927449331819,-0.0042857733647335,-0.0102296140798673,-0.0119172333654812,-0.038803077486041,-1.6059594502917227,-inf,-inf
0.149,1,4,0.0234291553497314,0.063872616193097,-0.0026691379363346,-0.0096626426342149,-0.0106282073019635,-0.0405419508298837,-2.3294223266739595,-3.941432837422428,-inf
0.15,1,4,0.0234243869781494,0.0592206820561691,-0.0036660241106682,-0.0121001132630082,-0.0121601042959793,-0.0446593197180334,-2.3962061823681653,-3.310911244656526,-inf
0.151,1,4,0.0231528282165527,0.032315981289743,-0.0017256704228869,-0.0112809543841861,-0.0152187391143554,-0.0679408805800014,-2.4161285896323137,-3.742756269909861,-inf
0.152,1,4,0.0234317779541015,0.0409281829900453,-0.0008065414658826,-0.0104006447542415,-0.0112885361259115,-0.0491529982831451,-2.191017744648885,-3.7804076893681886,-inf
0.153,1,4,0.0233066082000732,0.028246219618368,-0.0030465101930019,-0.0104671723351274,-0.0138351006469119,-0.0648244710875015,-2.688682397092264,-3.469919232758304,-inf
0.154,1,4,0.0420005321502685,0.0482500322991585,-0.0014561755575224,-0.0102413727438568,-0.011685359173831,-0.0435395581929632,-1.7299408942125427,-inf,-inf
0.155,1,4,0.0233807563781738,0.0455469711601599,-0.006725687399506,-0.0125915179457816,-0.0136083184932827,-0.053818978610494,-2.919333810649194,-3.626370942293288,-inf
