g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.078,1,4,0.0227434635162353,0.045174879496648,-0.0014258698258426,-0.0064766277484294,-0.0139535285689218,-0.0537585543831441,-0.145912610694163,-0.4610379718318425,-inf
0.079,1,4,0.0228524208068847,0.0447877264571244,-0.0004337222292743,-0.0055642644583705,-0.0102374402747227,-0.042170124065326,-0.1246557431850529,-0.466276376821206,-inf
0.08,1,4,0.0227315425872802,0.0426488466244077,0.001307724141961,-0.0061298011193392,-0.0118962556646022,-0.0543715799737348,-0.1448030845827139,-0.4059258657066803,-inf
0.081,1,4,0.0377631187438964,0.0408789795342409,0.0042584756269389,-0.0056729255451086,-0.0132672251487421,-0.0519162694281214,-0.1348126736504588,-0.3851875652239689,-inf
0.082,1,4,0.0226037502288818,0.0448330475519268,-0.0004505561333082,-0.0060710777541159,-0.0089444236910989,-0.0494883759048714,-0.1396032054909504,-0.4041994165131336,-inf
0.083,1,4,0.0228922367095947,0.0411830037925787,0.0019315739565917,-0.0055803122447145,-0.0107107743243455,-0.0527096818016742,-0.142048435340372,-0.3777203120060657,-inf
0.084,1,4,0.0381643772125244,0.0437059668875135,-0.0004353348804815,-0.0054824819616592,-0.0096614650658973,-0.0520355123683181,-0.1416463275561124,-0.4335468020957181,-inf
0.085,1,4,0.0372900962829589,0.0439657163222913,0.002512146796012,-0.0045796826183512,-0.0115621935049008,-0.0529004515594529,-0.1388710495892983,-0.3888300007791317,-inf
0.086,1,4,0.037961721420288,0.0407731782346508,0.0048698301634098,-0.0061037126399799,-0.0100493862989811,-0.0496113400451737,-0.1352013014435117,-inf,-inf
0.087,1,4,0.0379011631011962,0.0430768880060428,-0.0009340169688896,-0.0055433419089426,-0.0106743354106563,-0.0587053290218327,-0.1481960327979442,-0.3963477896519927,-inf
0.088,1,4,0.0376420021057128,0.0494231469437567,0.0019810519893387,-0.0073045368822461,-0.0074141248469749,-0.0500399171620131,-0.1366416391191885,-0.3781101212065119,-inf
0.089,1,4,0.0373322963714599,0.0446144157591796,-0.0009085290532784,-0.0061452679592059,-0.0077495790835646,-0.0570083696577978,-0.147854934825581,-0.4098610070868129,-inf
0.09,1,4,0.0408885478973388,0.0485916418760151,0.0027095566567682,-0.0057337696472677,-0.0087882499335499,-0.0569144469217696,-0.1447100457675332,-0.3670602557551971,-inf
0.091,1,4,0.0231592655181884,0.0399331877389703,0.0050644124552829,-0.0080567419346262,-0.0098086628191762,-0.0566610885514302,-0.1392287181631208,-0.4228896486800403,-inf
0.092,1,4,0.0226821899414062,0.0435913988548014,-0.0028777051177237,-0.0063367501773739,-0.0101956018349038,-0.0555751927816679,-0.1566154672041944,-0.3819728065014983,-inf
0.093,1,4,0.0225856304168701,0.0448222672913924,0.0023487377011783,-0.0058338817335581,-0.0108097544360703,-0.0576830619509196,-0.1457229542464281,-0.3990969841914508,-inf
0.094,1,4,0.02311372756958,0.0381025035381514,0.0029085535703241,-0.0071243840350255,-0.0122520899171995,-0.0549906364183815,-0.1464152187926306,-0.3791371724948122,-inf
0.095,1,4,0.0374979972839355,0.0453650117813402,-0.0003054456836597,-0.0073864823323849,-0.008177915408649,-0.0575573239424224,-0.1523159594562926,-0.3490959687566846,-inf
0.096,1,4,0.0411515235900878,0.0426370302774513,-0.0006979770010583,-0.0059148903554103,-0.0120750449267356,-0.0590451355613605,-0.1423110728681909,-0.3472234600887516,-inf
0.097,1,4,0.0231101512908935,0.0428892582078036,0.0004795699846772,-0.0048829933792558,-0.0115184204252486,-0.0632344237492018,-0.1605095291939284,-0.4213148323200221,-inf
0.098,1,4,0.0232710838317871,0.0506444405247484,-0.0028617887449822,-0.0063678930701961,-0.0110819377900635,-0.0624690461705114,-0.1591087301601677,-0.402215024957672,-inf
0.099,1,4,0.0227601528167724,0.0484269437584846,0.000624381764424,-0.005420067493639,-0.0113763544743147,-0.0584493731274842,-0.1481021161376871,-0.3569187850085407,-inf
0.1,1,4,0.0373802185058593,0.0424083424561878,0.0014450786160247,-0.0062273052221422,-0.0097202368547931,-0.0599795442991883,-0.1613664057923725,-0.3577704985063755,-inf
0.101,1,4,0.0228302478790283,0.0477875142213272,0.0010425831890385,-0.0064891152045609,-0.0087405914165653,-0.0617830209399339,-0.150596026570907,-0.3527703649754223,-inf
0.102,1,4,0.0227172374725341,0.0468339275066787,0.0001282064288395,-0.0068473105547945,-0.0111353198150718,-0.0632686686942788,-0.1597446592415619,-0.4103026427535976,-inf
0.103,1,4,0.0423517227172851,0.0483592197079312,-0.0019770787770951,-0.0067159999148042,-0.0092444921068941,-0.0598947248912788,-0.1474532449660497,-0.4274642069345105,-inf
0.104,1,4,0.0233092308044433,0.0502038224732412,-0.0011742821120349,-0.0054977164246614,-0.0083078716866467,-0.0615859471596608,-0.1655339400560083,-0.4995297504399037,-inf
0.105,1,4,0.0232422351837158,0.0508956272578192,-0.002802916343275,-0.0054666793901452,-0.00777845214458,-0.0565654639091378,-0.1626868599002801,-0.4534338892823321,-inf
0.106,1,4,0.0230681896209716,0.0513458449753812,-0.0036555689036088,-0.005582332375939,-0.0097617969627639,-0.0602995062932393,-0.163951152346492,-0.4484661130865632,-inf
0.107,1,4,0.0380289554595947,0.0438567320654538,-0.0015415272206592,-0.0059954070744569,-0.0121143232642577,-0.0623396854932128,-0.1627832419391024,-0.4318822146544344,-inf
0.108,1,4,0.0227100849151611,0.0463073182265085,-0.0012026288041245,-0.0066235119690136,-0.0092023872212641,-0.0675828148327743,-0.1688880247028736,-0.4186333703839072,-inf
0.109,1,4,0.022841453552246,0.0423767917200862,0.0009807919598851,-0.0056952013027382,-0.0122664795136836,-0.0726136131801879,-0.172313030207244,-0.4514277964500736,-inf
0.11,1,4,0.0407989025115966,0.0439416808605894,-0.0005545701246295,-0.0078911570681865,-0.0108459448329208,-0.0633157728102435,-0.1644938412140678,-0.4351546552638166,-inf
0.111,1,4,0.0227863788604736,0.0504619754348801,0.0010439550584158,-0.0061043940968666,-0.0099584937232601,-0.0668425978138028,-0.1727947957187126,-0.4250195923766225,-inf
0.112,1,4,0.0229277610778808,0.0494833347277822,-0.0036601709199354,-0.0068300923831678,-0.007904077454262,-0.0690967096091377,-0.1803636159590347,-0.4269998990044744,-inf
0.113,1,4,0.0226616859436035,0.050428047603733,-0.0031683356156565,-0.007241962456699,-0.0095863285610953,-0.0660608206260482,-0.1667388590702201,-0.4634335710297942,-inf
0.114,1,4,0.0380299091339111,0.0475309639234106,-0.0024692973454341,-0.0041840232521465,-0.0087484864642999,-0.0714078861514151,-0.1835685586314079,-0.5148519706294508,-inf
0.115,1,4,0.0227329730987548,0.0469760329055267,-0.0016126917171562,-0.0065307414809908,-0.0117563390381424,-0.0645119344722695,-0.180417683010531,-0.500514993825987,-inf
0.116,1,4,0.0234675407409667,0.0462811242172431,-0.0009056162931768,-0.0065961011338362,-0.0103319791710492,-0.0700328253941896,-0.1875878470567326,-0.5568510081803542,-inf
0.117,1,4,0.0226140022277832,0.0491058621346617,-0.0014510990913496,-0.0068237789617143,-0.0087330151326938,-0.0657390299379652,-0.1873390146056515,-0.4936126185666215,-inf
0.118,1,4,0.0408129692077636,0.043916791626765,-0.0024964268325701,-0.0070407900943025,-0.0106467940693827,-0.0697362337558481,-0.1847169552992536,-0.5212715698748103,-inf
0.119,1,4,0.0234746932983398,0.0476681917756024,-0.0009816160224013,-0.0079655565315207,-0.0112466041367158,-0.0721446281673495,-0.200334398221243,-0.5423574441824112,-inf
0.12,1,4,0.0228521823883056,0.0484924968107844,8.694316596035837e-05,-0.005867418157117,-0.0079666857726342,-0.0708459479072774,-0.1930004591951318,-0.6143414621037656,-inf
0.121,1,4,0.0227179527282714,0.0442190747683131,-8.998797776294852e-05,-0.0069737391597838,-0.0140797444016297,-0.0711667993349952,-0.1914149303155305,-0.5118384032028694,-inf
0.122,1,4,0.0229706764221191,0.0488218442040092,-0.0016667806907498,-0.0049465186061221,-0.0106114399350364,-0.070524036042829,-0.198526566524704,-0.4644821705451802,-inf
