g_value,n,lambda_1,current_zeta_value,runtime
0.0618,2,0.0560986749128271,8,0.8198397159576416
0.062,2,0.0559480345505093,8,0.8192687034606934
0.0622,2,0.0578693871514106,8,0.8095850944519043
0.0624,2,0.0567911008073671,8,0.8069412708282471
0.0626,2,0.0579310833865835,8,0.8137679100036621
0.0628,2,0.0578295115449988,8,0.8105053901672363
0.063,2,0.0573444721382055,8,0.8073258399963379
0.0632,2,0.0582584357233557,8,0.8145229816436768
0.0634,2,0.0615604333207576,8,0.8194427490234375
0.0636,2,0.0585736349693076,8,0.8067960739135742
0.0638,2,0.0610475457097021,8,0.8126769065856934
0.064,2,0.0643586310509281,8,0.8163430690765381
0.0642,2,0.0700939610868308,8,0.813795804977417
0.0644,2,0.0657498244149586,8,0.8095734119415283
0.0646,2,0.0651636401177375,8,0.8075718879699707
0.0648,2,0.0716674754708862,8,0.8138105869293213
0.065,2,0.0716241551896016,8,0.8143036365509033
0.0652,2,0.0705308945189954,8,0.8093159198760986
0.0654,2,0.0702927955435741,8,0.8149831295013428
0.0656,2,0.0717223292046143,8,0.8000454902648926
0.0658,2,0.0745065132236647,8,0.8096792697906494
0.066,2,0.0752168447222535,8,0.81243896484375
0.0662,2,0.0770488215357284,8,0.812572717666626
0.0664,2,0.0782309664374974,8,0.8311042785644531
0.0666,2,0.078408212250432,8,0.8171346187591553
0.0668,2,0.0786932359845001,8,0.8064873218536377
0.067,2,0.0798166544583447,8,0.8145167827606201
0.0672,2,0.0805843538524361,8,0.8153278827667236
0.0674,2,0.0802832680352376,8,0.8141117095947266
0.0676,2,0.0815646124767017,8,0.8055386543273926
0.0678,2,0.0788670861779225,8,0.8286113739013672
0.068,2,0.083417554277332,8,0.8113086223602295
0.0682,2,0.0854981225099757,8,0.8136465549468994
0.0684,2,0.0851733017907528,8,0.811636209487915
0.0686,2,0.0867615999762805,8,0.8130600452423096
0.0688,2,0.087512401897687,8,0.8066699504852295
0.069,2,0.0870388318800628,8,0.8070056438446045
0.0692,2,0.0897868119550202,8,0.8135786056518555
0.0694,2,0.089844835824986,8,0.8123970031738281
0.0696,2,0.087630106697608,8,0.8122396469116211
0.0698,2,0.0909062352376526,8,0.8109927177429199
0.07,2,0.0903992636723898,8,0.8113536834716797
0.0702,2,0.089821511860257,8,0.8241121768951416
0.0704,2,0.0927320452754617,8,0.8065872192382812
0.0706,2,0.0923183930684111,8,0.8096191883087158
0.0708,2,0.0909880163854257,8,0.8077232837677002
0.071,2,0.0933957479141098,8,0.8262317180633545
0.0712,2,0.0965933092696393,8,0.8163859844207764
0.0714,2,0.094311810557855,8,0.8278141021728516
0.0716,2,0.0970536966914644,8,0.8098883628845215
0.0718,2,0.0954441703015269,8,0.8169307708740234
0.072,2,0.0968381466999216,8,0.8065118789672852
0.0722,2,0.0977862182114839,8,0.8298554420471191
0.0724,2,0.0988138101538561,8,0.8134384155273438
0.0726,2,0.0961694497403976,8,0.8150649070739746
0.0728,2,0.0985073596403086,8,0.8076639175415039
0.073,2,0.1002815820484543,8,0.8019206523895264
0.0732,2,0.1003514514716405,8,0.8134646415710449
0.0734,2,0.100188432485968,8,0.8070540428161621
0.0736,2,0.1009897829254908,8,0.8133621215820312
0.0738,2,0.1033769706436856,8,0.8114438056945801
0.074,2,0.103682830578166,8,0.8099818229675293
0.0742,2,0.1040099333607411,8,0.8167974948883057
0.0744,2,0.1044278740999789,8,0.8103220462799072
0.0746,2,0.1051762317348086,8,0.8127140998840332
0.0748,2,0.1039627618112165,8,0.8116695880889893
0.075,2,0.106598778204981,8,0.8152625560760498
0.0752,2,0.1039217218115399,8,0.8089323043823242
